datetime,Consumer_0_elec,PublicGrid_0_elec,Charger_0_elec,Consumer_0_heat,PublicGrid_0_heat,Charger_0_heat
09/04/2024 05:15:00,-0.4662515130353817,8.085589347117672e-06,0,0.0,0.0,0.0
09/04/2024 05:30:00,-0.4759648148148148,7.649445862789594e-06,0,0.0,0.0,0.0
09/04/2024 05:45:00,-0.3883641044061303,7.283900603671789e-06,0,0.0,0.0,0.0
09/04/2024 06:00:00,-0.3357976455733809,3.7747987805536454e-06,0,0.0,0.0,0.0
09/04/2024 06:15:00,-0.2554422990063234,2.715906494643594e-06,0,0.0,0.0,0.0
09/04/2024 06:30:00,-0.2140810415075121,-0.04691424332379872,0,0.0,0.0,0.0
09/04/2024 06:45:00,-0.2110455729166667,-0.10843394322421719,0,0.0,0.0,0.0
09/04/2024 07:00:00,-0.2537762345679012,-0.08470088986712311,0,0.0,0.0,0.0
09/04/2024 07:15:00,-0.2734359121518211,-0.2070912852264737,0,0.0,0.0,0.0
09/04/2024 07:30:00,-0.2423657534246575,-0.4883197733242414,0,0.0,0.0,0.0
09/04/2024 07:45:00,-0.2347238720073664,-0.5503159739238025,0,0.0,0.0,0.0
09/04/2024 08:00:00,-0.2699187558031569,-0.5773444240304711,0,0.0,0.0,0.0
09/04/2024 08:15:00,-0.3544774069028156,-0.43435077042384895,0,0.0,0.0,0.0
09/04/2024 08:30:00,-0.3502286883991429,-0.42356298831396194,0,0.0,0.0,0.0
09/04/2024 08:45:00,-0.345637915543576,-0.7562339090911075,0,0.0,0.0,0.0
09/04/2024 09:00:00,-0.3485427937754508,-1.537974404001853,0,0.0,0.0,0.0
09/04/2024 09:15:00,-0.3426032848324515,-1.3853227948509486,0,0.0,0.0,0.0
09/04/2024 09:30:00,-0.3981235795454546,-1.6065270602111679,0,0.0,0.0,0.0
09/04/2024 09:45:00,-0.284349358974359,-1.6281196632897892,0,0.0,0.0,0.0
09/04/2024 10:00:00,-0.2622888969171484,-1.6384934045321486e-05,0,0.0,0.0,0.0
09/04/2024 10:15:00,-0.3620922939068101,-1.4806953387513921e-05,0,0.0,0.0,0.0
09/04/2024 10:30:00,-0.2319074839302111,-1.5379918287705685e-05,0,0.0,0.0,0.0
09/04/2024 10:45:00,-0.3039370937790158,-1.5423525606073074e-05,0,0.0,0.0,0.0
09/04/2024 11:00:00,-0.3392399755127028,-1.0941999388780488e-06,0,0.0,0.0,0.0
09/04/2024 11:15:00,-0.3335273670848267,-1.0663419613976544e-06,0,0.0,0.0,0.0
09/04/2024 11:30:00,-0.3153903468385512,-1.09782491253263e-06,0,0.0,0.0,0.0
09/04/2024 11:45:00,-0.3547441355581937,-1.1230127359707076e-06,0,0.0,0.0,0.0
09/04/2024 12:00:00,-0.3795047348484849,-1.1971629203522127e-06,0,0.0,0.0,0.0
09/04/2024 12:15:00,-0.353036728024543,-1.244815147405376e-06,0,0.0,0.0,0.0
09/04/2024 12:30:00,-0.4058799578527062,-1.2632947432589248e-06,0,0.0,0.0,0.0
09/04/2024 12:45:00,-0.3415640597147949,-1.2860045475182602e-06,0,0.0,0.0,0.0
