datetime,PublicGrid_0_import (kWh)
2024-04-08T15:00:00Z,0.0
2024-04-08T15:15:00Z,0.0
2024-04-08T15:30:00Z,0.0
2024-04-08T15:45:00Z,0.0
2024-04-08T16:00:00Z,0.0
2024-04-08T16:15:00Z,0.036
2024-04-08T16:30:00Z,0.016
2024-04-08T16:45:00Z,0.011
2024-04-08T17:00:00Z,0.442
2024-04-08T17:15:00Z,0.24
2024-04-08T17:30:00Z,0.125
2024-04-08T17:45:00Z,0.437
2024-04-08T18:00:00Z,0.044
2024-04-08T18:15:00Z,0.063
2024-04-08T18:30:00Z,0.021
2024-04-08T18:45:00Z,0.0
2024-04-08T19:00:00Z,0.0
2024-04-08T19:15:00Z,0.0040000000002328
2024-04-08T19:30:00Z,0.0
2024-04-08T19:45:00Z,0.0
2024-04-08T20:00:00Z,0.0039999999997671
2024-04-08T20:15:00Z,0.0
2024-04-08T20:30:00Z,0.0
2024-04-08T20:45:00Z,0.004
2024-04-08T21:00:00Z,0.009
2024-04-08T21:15:00Z,0.0149999999997671
2024-04-08T21:30:00Z,0.0080000000004656
2024-04-08T21:45:00Z,0.0099999999997671
2024-04-08T22:00:00Z,0.01
2024-04-08T22:15:00Z,0.008
2024-04-08T22:30:00Z,0.015
2024-04-08T22:45:00Z,0.0
2024-04-08T23:00:00Z,0.0
2024-04-08T23:15:00Z,0.005
2024-04-08T23:30:00Z,0.003
2024-04-08T23:45:00Z,0.0070000000002328
2024-04-09T00:00:00Z,0.0029999999997671
2024-04-09T00:15:00Z,0.0
2024-04-09T00:30:00Z,0.0060000000002328
2024-04-09T00:45:00Z,0.0189999999997671
2024-04-09T01:00:00Z,0.0860000000002328
2024-04-09T01:15:00Z,0.0809999999997671
2024-04-09T01:30:00Z,0.0759999999997671
2024-04-09T01:45:00Z,0.0770000000002328
2024-04-09T02:00:00Z,0.076
2024-04-09T02:15:00Z,0.0679999999997671
2024-04-09T02:30:00Z,0.0660000000002328
2024-04-09T02:45:00Z,0.058
2024-04-09T03:00:00Z,0.005
2024-04-09T03:15:00Z,0.003
2024-04-09T03:30:00Z,0.006
2024-04-09T03:45:00Z,0.0040000000002328
2024-04-09T04:00:00Z,0.0509999999997671
2024-04-09T04:15:00Z,0.111
2024-04-09T04:30:00Z,0.081
2024-04-09T04:45:00Z,0.066
2024-04-09T05:00:00Z,0.089
2024-04-09T05:15:00Z,0.019
2024-04-09T05:30:00Z,0.0250000000002328
2024-04-09T05:45:00Z,0.0429999999997671
2024-04-09T06:00:00Z,0.055
2024-04-09T06:15:00Z,0.044
2024-04-09T06:30:00Z,0.013
2024-04-09T06:45:00Z,0.001
2024-04-09T07:00:00Z,0.01
2024-04-09T07:15:00Z,0.003
2024-04-09T07:30:00Z,0.0
2024-04-09T07:45:00Z,0.002
2024-04-09T08:00:00Z,0.0
2024-04-09T08:15:00Z,0.0
2024-04-09T08:30:00Z,0.004
2024-04-09T08:45:00Z,0.002
2024-04-09T09:00:00Z,0.002
2024-04-09T09:15:00Z,0.003
2024-04-09T09:30:00Z,0.015
2024-04-09T09:45:00Z,0.038
2024-04-09T10:00:00Z,0.075
2024-04-09T10:15:00Z,0.121
2024-04-09T10:30:00Z,0.043
2024-04-09T10:45:00Z,0.083
2024-04-09T11:00:00Z,0.507
2024-04-09T11:15:00Z,0.409
2024-04-09T11:30:00Z,0.284
2024-04-09T11:45:00Z,0.2810000000002328
2024-04-09T12:00:00Z,0.0519999999997671
2024-04-09T12:15:00Z,0.0440000000002328
2024-04-09T12:30:00Z,0.0529999999997671
2024-04-09T12:45:00Z,0.056
2024-04-09T13:00:00Z,0.044
2024-04-09T13:15:00Z,0.0010000000002328
2024-04-09T13:30:00Z,0.0
2024-04-09T13:45:00Z,0.0
