datetime,PublicGrid_0_import (kWh)
2024-01-01T00:00:00Z,0.015
2024-01-01T00:15:00Z,0.015
2024-01-01T00:30:00Z,0.015
2024-01-01T00:45:00Z,0.015
2024-01-01T01:00:00Z,0.015
2024-01-01T01:15:00Z,0.015
2024-01-01T01:30:00Z,0.015
2024-01-01T01:45:00Z,0.015
2024-01-01T02:00:00Z,0.016
2024-01-01T02:15:00Z,0.015
2024-01-01T02:30:00Z,0.015
2024-01-01T02:45:00Z,0.015
2024-01-01T03:00:00Z,0.015
2024-01-01T03:15:00Z,0.015
2024-01-01T03:30:00Z,0.015
2024-01-01T03:45:00Z,0.015
2024-01-01T04:00:00Z,0.015
2024-01-01T04:15:00Z,0.015
2024-01-01T04:30:00Z,0.015
2024-01-01T04:45:00Z,0.015
2024-01-01T05:00:00Z,0.016
2024-01-01T05:15:00Z,0.015
2024-01-01T05:30:00Z,0.015
2024-01-01T05:45:00Z,0.015
2024-01-01T06:00:00Z,0.014999999999941793
2024-01-01T06:15:00Z,0.015000000000058208
2024-01-01T06:30:00Z,0.015
2024-01-01T06:45:00Z,0.015
2024-01-01T07:00:00Z,0.014999999999941793
2024-01-01T07:15:00Z,0.015
2024-01-01T07:30:00Z,0.015000000000058208
2024-01-01T07:45:00Z,0.015
2024-01-01T08:00:00Z,0.014
2024-01-01T08:15:00Z,0.013
2024-01-01T08:30:00Z,0.008
2024-01-01T08:45:00Z,0.004
2024-01-01T09:00:00Z,0.0
2024-01-01T09:15:00Z,0.0
2024-01-01T09:30:00Z,0.0
2024-01-01T09:45:00Z,0.0
2024-01-01T10:00:00Z,0.0
2024-01-01T10:15:00Z,0.0
2024-01-01T10:30:00Z,0.0
2024-01-01T10:45:00Z,0.0
2024-01-01T11:00:00Z,0.0
2024-01-01T11:15:00Z,0.0
2024-01-01T11:30:00Z,0.0
2024-01-01T11:45:00Z,0.0
2024-01-01T12:00:00Z,0.0
2024-01-01T12:15:00Z,0.0
2024-01-01T12:30:00Z,0.0
2024-01-01T12:45:00Z,0.0
2024-01-01T13:00:00Z,0.0
2024-01-01T13:15:00Z,0.0
