datetime,PublicGrid_0_import (kWh)
2024-04-08T15:00:00Z,0.0
2024-04-08T15:15:00Z,0.0
2024-04-08T15:30:00Z,0.0
2024-04-08T15:45:00Z,0.0
2024-04-08T16:00:00Z,0.0
2024-04-08T16:15:00Z,0.003
2024-04-08T16:30:00Z,0.0070000000002328
2024-04-08T16:45:00Z,0.0049999999997671
2024-04-08T17:00:00Z,0.026
2024-04-08T17:15:00Z,0.107
2024-04-08T17:30:00Z,0.068
2024-04-08T17:45:00Z,0.075
2024-04-08T18:00:00Z,0.04
2024-04-08T18:15:00Z,0.051
2024-04-08T18:30:00Z,0.031
2024-04-08T18:45:00Z,0.0980000000002328
2024-04-08T19:00:00Z,0.0889999999997671
2024-04-08T19:15:00Z,0.098
2024-04-08T19:30:00Z,0.094
2024-04-08T19:45:00Z,0.09
2024-04-08T20:00:00Z,0.085
2024-04-08T20:15:00Z,0.082
2024-04-08T20:30:00Z,0.074
2024-04-08T20:45:00Z,0.074
2024-04-08T21:00:00Z,0.0749999999997671
2024-04-08T21:15:00Z,0.0800000000002328
2024-04-08T21:30:00Z,0.078
2024-04-08T21:45:00Z,0.075
2024-04-08T22:00:00Z,0.077
2024-04-08T22:15:00Z,0.0739999999997671
2024-04-08T22:30:00Z,0.0800000000002328
2024-04-08T22:45:00Z,0.071
2024-04-08T23:00:00Z,0.0580000000002328
2024-04-08T23:15:00Z,0.0629999999997671
2024-04-08T23:30:00Z,0.0620000000002328
2024-04-08T23:45:00Z,0.069
2024-04-09T00:00:00Z,0.0679999999995343
2024-04-09T00:15:00Z,0.058
2024-04-09T00:30:00Z,0.0650000000002328
2024-04-09T00:45:00Z,0.079
2024-04-09T01:00:00Z,0.084
2024-04-09T01:15:00Z,0.078
2024-04-09T01:30:00Z,0.073
2024-04-09T01:45:00Z,0.0739999999997671
2024-04-09T02:00:00Z,0.0750000000002328
2024-04-09T02:15:00Z,0.064
2024-04-09T02:30:00Z,0.066
2024-04-09T02:45:00Z,0.057
2024-04-09T03:00:00Z,0.057
2024-04-09T03:15:00Z,0.063
2024-04-09T03:30:00Z,0.068
2024-04-09T03:45:00Z,0.072
2024-04-09T04:00:00Z,0.079
2024-04-09T04:15:00Z,0.121
2024-04-09T04:30:00Z,0.091
2024-04-09T04:45:00Z,0.086
2024-04-09T05:00:00Z,0.167
2024-04-09T05:15:00Z,0.109
2024-04-09T05:30:00Z,0.105
2024-04-09T05:45:00Z,0.086
2024-04-09T06:00:00Z,0.068
2024-04-09T06:15:00Z,0.051
2024-04-09T06:30:00Z,0.029
2024-04-09T06:45:00Z,0.02
2024-04-09T07:00:00Z,0.028
2024-04-09T07:15:00Z,0.018
2024-04-09T07:30:00Z,0.001
2024-04-09T07:45:00Z,0.002
2024-04-09T08:00:00Z,0.0019999999997671
2024-04-09T08:15:00Z,0.0080000000004656
2024-04-09T08:30:00Z,0.0099999999997671
2024-04-09T08:45:00Z,0.006
2024-04-09T09:00:00Z,0.0040000000002328
2024-04-09T09:15:00Z,0.0039999999997671
2024-04-09T09:30:00Z,0.004
2024-04-09T09:45:00Z,0.003
2024-04-09T10:00:00Z,0.001
2024-04-09T10:15:00Z,0.001
2024-04-09T10:30:00Z,0.002
2024-04-09T10:45:00Z,0.001
2024-04-09T11:00:00Z,0.0
2024-04-09T11:15:00Z,0.005
2024-04-09T11:30:00Z,0.005
2024-04-09T11:45:00Z,0.001
2024-04-09T12:00:00Z,0.0029999999997671
2024-04-09T12:15:00Z,0.0070000000002328
2024-04-09T12:30:00Z,0.006
2024-04-09T12:45:00Z,0.009
2024-04-09T13:00:00Z,0.0060000000002328
2024-04-09T13:15:00Z,0.1209999999997671
2024-04-09T13:30:00Z,0.291
2024-04-09T13:45:00Z,0.206
