datetime,day_ahead_price (€/kWh)
2024-04-08 15:00:00,0.07501000000000001
2024-04-08 15:15:00,0.07501000000000001
2024-04-08 15:30:00,0.07501000000000001
2024-04-08 15:45:00,0.07501000000000001
2024-04-08 16:00:00,0.10490000000000001
2024-04-08 16:15:00,0.10490000000000001
2024-04-08 16:30:00,0.10490000000000001
2024-04-08 16:45:00,0.10490000000000001
2024-04-08 17:00:00,0.1373
2024-04-08 17:15:00,0.1373
2024-04-08 17:30:00,0.1373
2024-04-08 17:45:00,0.1373
2024-04-08 18:00:00,0.122
2024-04-08 18:15:00,0.122
2024-04-08 18:30:00,0.122
2024-04-08 18:45:00,0.122
2024-04-08 19:00:00,0.07
2024-04-08 19:15:00,0.07
2024-04-08 19:30:00,0.07
2024-04-08 19:45:00,0.07
2024-04-08 20:00:00,0.07622
2024-04-08 20:15:00,0.07622
2024-04-08 20:30:00,0.07622
2024-04-08 20:45:00,0.07622
2024-04-08 21:00:00,0.065
2024-04-08 21:15:00,0.065
2024-04-08 21:30:00,0.065
2024-04-08 21:45:00,0.065
2024-04-08 22:00:00,0.07820999999999999
2024-04-08 22:15:00,0.07820999999999999
2024-04-08 22:30:00,0.07820999999999999
2024-04-08 22:45:00,0.07820999999999999
2024-04-08 23:00:00,0.06
2024-04-08 23:15:00,0.06
2024-04-08 23:30:00,0.06
2024-04-08 23:45:00,0.06
2024-04-09 00:00:00,0.04859
2024-04-09 00:15:00,0.04859
2024-04-09 00:30:00,0.04859
2024-04-09 00:45:00,0.04859
2024-04-09 01:00:00,0.038149999999999996
2024-04-09 01:15:00,0.038149999999999996
2024-04-09 01:30:00,0.038149999999999996
2024-04-09 01:45:00,0.038149999999999996
2024-04-09 02:00:00,0.03854
2024-04-09 02:15:00,0.03854
2024-04-09 02:30:00,0.03854
2024-04-09 02:45:00,0.03854
2024-04-09 03:00:00,0.04184
2024-04-09 03:15:00,0.04184
2024-04-09 03:30:00,0.04184
2024-04-09 03:45:00,0.04184
2024-04-09 04:00:00,0.041100000000000005
2024-04-09 04:15:00,0.041100000000000005
2024-04-09 04:30:00,0.041100000000000005
2024-04-09 04:45:00,0.041100000000000005
2024-04-09 05:00:00,0.05865
2024-04-09 05:15:00,0.05865
2024-04-09 05:30:00,0.05865
2024-04-09 05:45:00,0.05865
2024-04-09 06:00:00,0.06305
2024-04-09 06:15:00,0.06305
