datetime,Battery_0_elec,Consumer_0_elec,PublicGrid_0_elec,SolarPv_0_elec,Charger_0_elec,Battery_0_heat,Consumer_0_heat,PublicGrid_0_heat,SolarPv_0_heat,Charger_0_heat
09/04/2024 01:30:00,0.0,-0.28513,0.28513,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 01:45:00,0.0,-0.28897,0.28897,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 02:00:00,0.0,-0.293447037037037,0.293447037037037,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 02:15:00,0.0,-0.2488037037037037,0.2488037037037037,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 02:30:00,0.0,-0.2513592592592593,0.2513592592592593,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 02:45:00,0.0,-0.2216922222222222,0.2216922222222222,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 03:00:00,0.0,-0.2228477777777777,0.2228477777777777,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 03:15:00,0.0,-0.2427935897435897,0.2427935897435897,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 03:30:00,0.0,-0.2628866666666666,0.2628866666666666,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 03:45:00,0.0,-0.2786514814814815,0.2786514814814815,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 04:00:00,0.0,-0.3077018518518518,0.3077018518518518,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 04:15:00,0.0,-0.4774225925925926,0.4774225925925926,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 04:30:00,0.0,-0.3549257407407407,0.3549257407407407,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 04:45:00,0.0,-0.3350612472160356,0.3350612472160356,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 05:00:00,0.0,-0.7310454545454546,0.7310454545454546,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 05:15:00,0.0,-0.4325311111111111,0.4325311111111111,0.0,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 05:30:00,0.0,-0.4356166666666666,0.41092111111111107,0.0246955555555555,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 05:45:00,0.0,-0.3884814814814815,0.3348592592592593,0.0536222222222222,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 06:00:00,0.0,-0.3218318518518518,0.2633874074074074,0.0584444444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 06:15:00,0.0,-0.2484511111111111,0.1979266666666667,0.0505244444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 06:30:00,0.0,-0.2085588888888889,0.1060077777777778,0.1025511111111111,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 06:45:00,0.0,-0.1990544444444444,0.07475,0.1243044444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 07:00:00,0.0,-0.2370044444444444,0.1040911111111111,0.1329133333333333,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 07:15:00,0.0,-0.2518862962962963,0.06111962962962966,0.1907666666666666,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 07:30:00,-0.058731851851851896,-0.2224392592592592,0.0,0.2811711111111111,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 07:45:00,-0.08128666666666667,-0.2195399999999999,0.0,0.3008266666666666,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 08:00:00,-0.07365333333333329,-0.2522422222222222,0.0,0.3258955555555555,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 08:15:00,0.008354444444444442,-0.31419,0.0,0.3058355555555556,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 08:30:00,0.015169259259259271,-0.3141137037037037,0.0,0.2989444444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 08:45:00,-0.11091370370370368,-0.3166218518518518,0.0,0.4275355555555555,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 09:00:00,-0.3929311111111111,-0.2969222222222222,0.0,0.6898533333333333,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 09:15:00,-0.3637777777777778,-0.3021022222222222,0.0,0.66588,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 09:30:00,-0.4277377777777778,-0.3163755555555555,0.0,0.7441133333333333,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 09:45:00,-0.45317976738431087,-0.2697155555555555,0.0,0.7228953229398664,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 10:00:00,-0.27649777777777784,-0.2559377777777777,0.0,0.5324355555555556,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 10:15:00,-0.046732222222222286,-0.3355877777777777,0.0,0.38232,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 10:30:00,-0.13945,-0.2224722222222222,0.0,0.3619222222222222,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 10:45:00,-0.01606444444444438,-0.28682,0.0,0.3028844444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 11:00:00,-0.0944644444444444,-0.2918688888888889,0.0,0.3863333333333333,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 11:15:00,-0.33637222222222213,-0.29385,0.0,0.6302222222222221,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 11:30:00,-0.3366200000000001,-0.2874355555555555,0.0,0.6240555555555556,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 11:45:00,0.01040189062113328,-0.3023507795100222,0.0,0.2919488888888889,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 12:00:00,-0.6648329981954113,-0.3192447795823666,0.0,0.9840777777777778,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 12:15:00,-0.6588655555555554,-0.3382322222222222,0.0,0.9970977777777776,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 12:30:00,-0.5426141612524591,-0.3457541371158392,0.0,0.8883682983682983,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 12:45:00,-0.9332686227862897,-0.3188333333333333,0.363860345381368,0.888241610738255,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 13:00:00,-1.296657074444445,-0.3201266666666666,0.900008185555556,0.7167755555555556,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 13:15:00,-1.139606728111112,-0.3083733333333333,0.6022756170000008,0.8457044444444445,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 13:30:00,-1.2074812341111099,-0.3149599999999999,0.9376745674444431,0.5847666666666667,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 13:45:00,-1.1781470182222213,-0.3964766666666667,0.6013792404444437,0.9732444444444444,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 14:00:00,-1.1908247701111108,-0.3885885185185185,0.9845066219629627,0.5949066666666666,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 14:15:00,-1.185345662555557,-0.3919114814814815,0.5361260329259274,1.041131111111111,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 14:30:00,-1.1877136378888886,-0.40989,1.208488082333333,0.3891155555555555,0,0.0,0.0,0.0,0.0,0.0
09/04/2024 14:45:00,-0.5911885433333336,-0.3767486559139785,0.8384216436917566,0.1295155555555555,0,0.0,0.0,0.0,0.0,0.0
