datetime,Battery_0_elec,SolarPv_0_elec,Battery_0_heat,SolarPv_0_heat
08/04/2024 15:00:00,7.008672470544823e-06,1.0848711111111111,0.0,0.0
08/04/2024 15:15:00,8.615634022125895e-07,0.9916844444444444,0.0,0.0
08/04/2024 15:30:00,-2.09225575874195e-06,0.8781762013729978,0.0,0.0
08/04/2024 15:45:00,-6.447496709027778e-06,0.7225462753950338,0.0,0.0
08/04/2024 16:00:00,-0.0,0.7501444444444444,0.0,0.0
08/04/2024 16:15:00,0.26629525093809464,0.5454035476718403,0.0,0.0
08/04/2024 16:30:00,0.6763978266952948,0.3537706013363029,0.0,0.0
08/04/2024 16:45:00,0.4252186131822348,0.3559733333333333,0.0,0.0
08/04/2024 17:00:00,2.2008010322083145,0.2724577777777778,0.0,0.0
08/04/2024 17:15:00,1.89170450810759,0.1547599999999999,0.0,0.0
08/04/2024 17:30:00,1.3820988959204261,0.0830133333333333,0.0,0.0
08/04/2024 17:45:00,2.5079935516235716,0.1022244444444444,0.0,0.0
08/04/2024 18:00:00,0.7607853076988081,0.0307199999999999,0.0,0.0
08/04/2024 18:15:00,1.0735723770641692,0.0002711111111111,0.0,0.0
08/04/2024 18:30:00,0.6918170320436923,0.0,0.0,0.0
08/04/2024 18:45:00,0.4773870499912456,0.0,0.0,0.0
08/04/2024 19:00:00,0.4357631849709777,0.0,0.0,0.0
08/04/2024 19:15:00,0.40359911089701944,0.0,0.0,0.0
08/04/2024 19:30:00,0.3987961479342784,0.0,0.0,0.0
08/04/2024 19:45:00,0.4977109627493441,0.0,0.0,0.0
08/04/2024 20:00:00,0.3999643480861665,0.0,0.0,0.0
08/04/2024 20:15:00,0.4502187925300015,0.0,0.0,0.0
08/04/2024 20:30:00,0.3489387925296745,0.0,0.0,0.0
08/04/2024 20:45:00,0.3388304591963707,0.0,0.0,0.0
08/04/2024 21:00:00,0.43339535507554894,0.0,0.0,0.0
08/04/2024 21:15:00,0.39727535506419065,0.0,0.0,0.0
08/04/2024 21:30:00,0.4234997995223188,0.0,0.0,0.0
08/04/2024 21:45:00,0.3725354342615134,0.0,0.0,0.0
08/04/2024 22:00:00,0.34989155905050756,0.0,0.0,0.0
08/04/2024 22:15:00,0.4146371405431729,0.0,0.0,0.0
08/04/2024 22:30:00,0.35483269609877743,0.0,0.0,0.0
08/04/2024 22:45:00,0.4232323257283859,0.0,0.0,0.0
08/04/2024 23:00:00,0.25510732456453844,0.0,0.0,0.0
08/04/2024 23:15:00,0.3680619541942061,0.0,0.0,0.0
08/04/2024 23:30:00,0.30310454678675547,0.0,0.0,0.0
08/04/2024 23:45:00,0.3786826949349273,0.0,0.0,0.0
09/04/2024 00:00:00,0.30861222140200645,0.0,0.0,0.0
09/04/2024 00:15:00,0.25628388807833935,0.0,0.0,0.0
09/04/2024 00:30:00,0.3283911102494937,0.0,0.0,0.0
09/04/2024 00:45:00,0.535688332331345,0.0,0.0,0.0
09/04/2024 01:00:00,0.49586446409584367,0.0,0.0,0.0
09/04/2024 01:15:00,0.369661131248895,0.0,0.0,0.0
09/04/2024 01:30:00,0.3531531679131361,0.0,0.0,0.0
09/04/2024 01:45:00,0.3714720562162207,0.0,0.0,0.0
09/04/2024 02:00:00,0.3973106384813835,0.0,0.0,0.0
09/04/2024 02:15:00,0.4693848966212885,0.0,0.0,0.0
09/04/2024 02:30:00,0.43124748903817045,0.0,0.0,0.0
09/04/2024 02:45:00,0.37631193354178527,0.0,0.0,0.0
09/04/2024 03:00:00,0.37318512311808655,0.0,0.0,0.0
09/04/2024 03:15:00,0.4515653811103936,0.0,0.0,0.0
09/04/2024 03:30:00,0.3378245672013834,0.0,0.0,0.0
09/04/2024 03:45:00,0.42330086260048516,0.0,0.0,0.0
09/04/2024 04:00:00,0.38178337929580725,0.0,0.0,0.0
09/04/2024 04:15:00,0.49132588610799954,0.0,0.0,0.0
09/04/2024 04:30:00,0.4838284754407886,0.0,0.0,0.0
09/04/2024 04:45:00,0.4251197564727122,0.0,0.0,0.0
09/04/2024 05:00:00,0.7949019104660018,0.0,0.0,0.0
09/04/2024 05:15:00,0.48269579364949744,0.001011135857461,0.0,0.0
09/04/2024 05:30:00,0.5817697070835223,0.0332777777777777,0.0,0.0
09/04/2024 05:45:00,0.4612997073916264,0.0705577777777777,0.0,0.0
09/04/2024 06:00:00,0.29549570124756136,0.0774599999999999,0.0,0.0
09/04/2024 06:15:00,0.2793583500248859,0.0654365256124721,0.0,0.0
09/04/2024 06:30:00,0.2665435588347993,0.1410977777777777,0.0,0.0
09/04/2024 06:45:00,0.2771675145350736,0.1733630289532294,0.0,0.0
09/04/2024 07:00:00,0.2743327910347085,0.1863311111111111,0.0,0.0
09/04/2024 07:15:00,0.2275485181372239,0.2688422222222222,0.0,0.0
09/04/2024 07:30:00,0.146495692447567,0.40012,0.0,0.0
09/04/2024 07:45:00,0.11415779852220741,0.4310288888888889,0.0,0.0
09/04/2024 08:00:00,0.07979019061237305,0.4666659242761692,0.0,0.0
09/04/2024 08:15:00,0.10850997622347057,0.4392488888888888,0.0,0.0
09/04/2024 08:30:00,0.1157808010409824,0.4303466666666667,0.0,0.0
09/04/2024 08:45:00,-0.05906905952706153,0.6042555555555555,0.0,0.0
09/04/2024 09:00:00,-0.44625636623712,0.9914422222222222,0.0,0.0
09/04/2024 09:15:00,-0.4102116725393622,0.950868888888889,0.0,0.0
09/04/2024 09:30:00,-0.5089667152008991,1.052521158129176,0.0,0.0
09/04/2024 09:45:00,-0.4855462874993443,1.0288,0.0,0.0
