datetime,grid_power,grid_import,grid_export
2024-04-12T15:00:00Z,-0.6463034608211544,0.04,0.5400000000018624
2024-04-12T15:15:00Z,-0.442704103439392,0.0,0.4439999999981372
2024-04-12T15:30:00Z,-0.5695631566065152,0.0,0.572
2024-04-12T15:45:00Z,-0.19030903895885035,0.004,0.3840000000018624
2024-04-12T16:00:00Z,-6.358975024323144e-07,0.004,0.0
2024-04-12T16:15:00Z,-6.41991699468214e-07,0.004,0.012
2024-04-12T16:30:00Z,-1.1108203291643193e-06,0.0,0.0
2024-04-12T16:45:00Z,-1.0502109170640317e-06,0.0,0.0
2024-04-12T17:00:00Z,-0.4632848687084991,0.0,0.0
2024-04-12T17:15:00Z,-0.4130750304464332,0.0,0.0
2024-04-12T17:30:00Z,-0.39314594936769354,0.0,0.0
2024-04-12T17:45:00Z,-0.38188967090708303,0.0,0.004
2024-04-12T18:00:00Z,-2.6964853211963735e-05,0.0,0.0
2024-04-12T18:15:00Z,-2.867878007450919e-05,0.0,0.0
2024-04-12T18:30:00Z,-3.0030693484950355e-05,0.0,0.0040000000018624
2024-04-12T18:45:00Z,-3.078320635208076e-05,0.0,0.0
2024-04-12T19:00:00Z,-1.5931250451073353e-06,0.0,0.0039999999962744
2024-04-12T19:15:00Z,-1.5914191549004642e-06,0.0,0.0
2024-04-12T19:30:00Z,-1.5823284780225322e-06,0.0,0.0
2024-04-12T19:45:00Z,-1.5572933176888348e-06,0.0,0.0
2024-04-12T20:00:00Z,-1.1457602221986996e-06,0.0,0.0040000000018624
2024-04-12T20:15:00Z,-1.173941063581374e-06,0.0,0.0
2024-04-12T20:30:00Z,-1.1983123350822744e-06,0.0,0.0
2024-04-12T20:45:00Z,-1.063998858130688e-06,0.0,0.004
2024-04-12T21:00:00Z,-4.6062580555394916e-07,0.0,0.0
2024-04-12T21:15:00Z,-4.796748172553045e-07,0.0,0.0039999999981372
2024-04-12T21:30:00Z,-4.922571701926337e-07,0.0,0.0
2024-04-12T21:45:00Z,-5.079181651934661e-07,0.0,0.0040000000018624
2024-04-12T22:00:00Z,-3.71410124988536e-07,0.0,0.0
2024-04-12T22:15:00Z,-3.7312394324251486e-07,0.0,0.0
2024-04-12T22:30:00Z,-3.8273801145072284e-07,0.0,0.0039999999981372
2024-04-12T22:45:00Z,-3.9767512849397946e-07,0.0,0.0
2024-04-12T23:00:00Z,-2.4507637624848755e-07,0.0,0.0040000000018624
2024-04-12T23:15:00Z,-2.536277713127699e-07,0.0,0.0
2024-04-12T23:30:00Z,-2.489645806180718e-07,0.0,0.0039999999981372
2024-04-12T23:45:00Z,-2.5611290194182956e-07,0.0,0.0
2024-04-13T00:00:00Z,-1.5868838976196287e-07,0.0,0.0
2024-04-13T00:15:00Z,-1.6324881219054177e-07,0.0,0.0040000000018624
2024-04-13T00:30:00Z,-1.988642956973763e-07,0.0,0.0
2024-04-13T00:45:00Z,-2.047040277286527e-07,0.0,0.0039999999981372
2024-04-13T01:00:00Z,-9.760783403756079e-08,0.0,0.0
2024-04-13T01:15:00Z,-9.830374242403295e-08,0.0,0.0
2024-04-13T01:30:00Z,-1.0014580875683521e-07,0.0,0.0040000000018624
2024-04-13T01:45:00Z,-1.0565687907915233e-07,0.0,0.004
2024-04-13T02:00:00Z,-7.924527811731252e-08,0.0,0.0
2024-04-13T02:15:00Z,-8.042740429203832e-08,0.0,0.004
2024-04-13T02:30:00Z,-8.359302433591509e-08,0.0,0.0
2024-04-13T02:45:00Z,-8.428287756601094e-08,0.0,0.0039999999981372
2024-04-13T03:00:00Z,-1.5007768100483432e-07,0.0,0.0
2024-04-13T03:15:00Z,-1.559024634945061e-07,0.0,0.004
2024-04-13T03:30:00Z,-1.8857604433542008e-07,0.0,0.0
2024-04-13T03:45:00Z,-1.987773518563607e-07,0.0,0.0040000000018624
2024-04-13T04:00:00Z,-3.126441291412263e-07,0.0,0.0039999999981372
2024-04-13T04:15:00Z,-3.078077236984278e-07,0.0,0.0
2024-04-13T04:30:00Z,-3.2482894762875247e-07,0.0,0.0
2024-04-13T04:45:00Z,-3.501884046075432e-07,0.0,0.0040000000018624
2024-04-13T05:00:00Z,-3.546700800827196e-07,0.0,0.0
2024-04-13T05:15:00Z,-5.54766217575331e-07,0.004,0.0
2024-04-13T05:30:00Z,-5.920669501058295e-07,0.012,0.0039999999981372
2024-04-13T05:45:00Z,-5.663742750905421e-07,0.0,0.0040000000018624
2024-04-13T06:00:00Z,-4.913536530704032e-07,0.0,0.0
2024-04-13T06:15:00Z,-7.580570611351225e-07,0.0,0.0
2024-04-13T06:30:00Z,-1.886069681537872e-06,0.0,0.004
2024-04-13T06:45:00Z,-0.03925469454922357,0.0,0.0
2024-04-13T07:00:00Z,-0.0001574526272228316,0.0,0.004
2024-04-13T07:15:00Z,-0.0001341644193656455,0.0,0.0
2024-04-13T07:30:00Z,-0.1779860407417192,0.0,0.0039999999981372
2024-04-13T07:45:00Z,-0.5038612843350935,0.0,0.0
2024-04-13T08:00:00Z,-0.21600753418760926,0.0,0.004
2024-04-13T08:15:00Z,-0.39877469340045946,0.0,0.0
2024-04-13T08:30:00Z,-0.6353719584016879,0.0,0.0
2024-04-13T08:45:00Z,-1.1029582432733318,0.0,0.0
2024-04-13T09:00:00Z,-0.24273584470924492,0.0,0.0040000000018624
2024-04-13T09:15:00Z,-0.3291100217760359,0.0,0.0
2024-04-13T09:30:00Z,-0.515722337705105,0.0,0.0039999999981372
2024-04-13T09:45:00Z,-0.8799406193955328,0.0,0.0
2024-04-13T10:00:00Z,-1.884115128403252e-05,0.0,0.0040000000018624
2024-04-13T10:15:00Z,-1.500491078632038e-05,0.0,0.0
2024-04-13T10:30:00Z,-1.592310327502844e-05,0.0,0.0
2024-04-13T10:45:00Z,-5.574114471551539e-06,0.0,0.0039999999981372
2024-04-13T11:00:00Z,-3.7021487298005695e-07,0.052,0.0120000000018624
2024-04-13T11:15:00Z,-3.662308030172312e-07,0.0,0.092
2024-04-13T11:30:00Z,-3.2050290066365505e-07,0.02,0.016
2024-04-13T11:45:00Z,-3.5187376701273365e-07,0.132,0.02
2024-04-13T12:00:00Z,-2.631502957761711e-07,0.076,0.008
2024-04-13T12:15:00Z,1.512838521122717e-08,0.032,0.572
2024-04-13T12:30:00Z,-2.642414582698649e-07,0.0,1.364
2024-04-13T12:45:00Z,-2.582675848739058e-07,0.0,1.404
2024-04-13T13:00:00Z,-3.454198855834534e-07,0.0,1.2959999999981373
2024-04-13T13:15:00Z,-3.478889112340511e-07,0.0,1.332
2024-04-13T13:30:00Z,-0.04569221414426705,0.0,1.232
2024-04-13T13:45:00Z,-0.4804658800546192,0.0,1.18
2024-04-13T14:00:00Z,-1.054868777777778,0.0,1.0680000000018623
2024-04-13T14:15:00Z,-1.0550473333333343,0.0,1.052
2024-04-13T14:30:00Z,-0.9967091111111129,0.0,1.0039999999981373
2024-04-13T14:45:00Z,-0.9691026450588851,0.0,0.9680000000018624
2024-04-17T15:00:00Z,-4.691428746678161e-06,0.0039999999981372,0.0
2024-04-17T15:15:00Z,-4.656941765268652e-06,0.0,0.0
2024-04-17T15:30:00Z,-0.12662900347870126,0.0,0.036
2024-04-17T15:45:00Z,-2.563837089297749e-07,0.0,0.2840000000018624
2024-04-17T16:00:00Z,-2.709617946981824e-06,0.0,0.0039999999981372
2024-04-17T16:15:00Z,-0.0534223892050974,0.0,0.0
2024-04-17T16:30:00Z,-9.765319708421316e-08,0.0,0.0040000000018624
2024-04-17T16:45:00Z,-8.926788788721218e-08,0.0,0.0
2024-04-17T17:00:00Z,-4.4082212494189754e-07,0.0,0.0
2024-04-17T17:15:00Z,-4.5881286524218634e-07,0.0,0.0039999999981372
2024-04-17T17:30:00Z,-4.699102963967583e-07,0.0,0.0040000000018624
2024-04-17T17:45:00Z,-4.647458085316192e-07,0.0,0.0
2024-04-17T18:00:00Z,-0.4386848562239344,0.0,0.0
2024-04-17T18:15:00Z,-0.41445109404640335,0.0,0.0039999999981372
2024-04-17T18:30:00Z,-0.39507713695093155,0.0,0.0
2024-04-17T18:45:00Z,-0.38983343318825425,0.0,0.004
2024-04-17T19:00:00Z,-5.510159974408957e-07,0.0,0.0
