datetime,PublicGrid_0_import (kWh)
2024-04-10T01:30:00Z,1.442
2024-04-10T01:45:00Z,1.2610000000002328
2024-04-10T02:00:00Z,1.991999999999767
2024-04-10T02:15:00Z,0.291
2024-04-10T02:30:00Z,1.61
2024-04-10T02:45:00Z,0.017
2024-04-10T03:00:00Z,0.681
2024-04-10T03:15:00Z,0.0050000000002328
2024-04-10T03:30:00Z,0.0049999999997671
2024-04-10T03:45:00Z,0.0
2024-04-10T04:00:00Z,0.4300000000002328
2024-04-10T04:15:00Z,0.0629999999997671
2024-04-10T04:30:00Z,0.856
2024-04-10T04:45:00Z,0.218
2024-04-10T05:00:00Z,0.024
2024-04-10T05:15:00Z,0.0
2024-04-10T05:30:00Z,0.0
2024-04-10T05:45:00Z,0.0
2024-04-10T06:00:00Z,0.291
2024-04-10T06:15:00Z,0.002
2024-04-10T06:30:00Z,0.318
2024-04-10T06:45:00Z,0.003
2024-04-10T07:00:00Z,0.441
2024-04-10T07:15:00Z,0.006
2024-04-10T07:30:00Z,0.0
2024-04-10T07:45:00Z,0.228
2024-04-10T08:00:00Z,0.002
2024-04-10T08:15:00Z,0.0
2024-04-10T08:30:00Z,0.0
2024-04-10T08:45:00Z,0.0
2024-04-10T09:00:00Z,0.3650000000002328
2024-04-10T09:15:00Z,0.4339999999997672
2024-04-10T09:30:00Z,0.239
2024-04-10T09:45:00Z,0.4610000000002328
2024-04-10T10:00:00Z,0.3699999999997672
2024-04-10T10:15:00Z,0.062
2024-04-10T10:30:00Z,0.43
2024-04-10T10:45:00Z,0.383
2024-04-10T11:00:00Z,0.27
2024-04-10T11:15:00Z,0.317
2024-04-10T11:30:00Z,0.361
2024-04-10T11:45:00Z,0.815
2024-04-10T12:00:00Z,0.415
2024-04-10T12:15:00Z,0.326
2024-04-10T12:30:00Z,0.262
2024-04-10T12:45:00Z,0.348
2024-04-10T13:00:00Z,0.3330000000002328
2024-04-10T13:15:00Z,0.3689999999997672
2024-04-10T13:30:00Z,0.356
2024-04-10T13:45:00Z,0.397
2024-04-10T14:00:00Z,0.359
2024-04-10T14:15:00Z,0.3250000000002328
2024-04-10T14:30:00Z,0.3419999999997671
2024-04-10T14:45:00Z,0.295
2024-04-10T15:00:00Z,0.0
2024-04-10T15:15:00Z,0.0
2024-04-10T15:30:00Z,0.0
