datetime,Battery_0_elec,SolarPv_0_elec,Battery_0_heat,SolarPv_0_heat
08/04/2024 15:00:00,-0.0,1.0848711111111111,0.0,0.0
08/04/2024 15:15:00,-0.0,0.9916844444444444,0.0,0.0
08/04/2024 15:30:00,-0.0,0.8781762013729978,0.0,0.0
08/04/2024 15:45:00,-0.0,0.7225462753950338,0.0,0.0
08/04/2024 16:00:00,-0.0,0.7501444444444444,0.0,0.0
08/04/2024 16:15:00,0.2662951560318634,0.5454035476718403,0.0,0.0
08/04/2024 16:30:00,0.6763977319970305,0.3537706013363029,0.0,0.0
08/04/2024 16:45:00,0.4252185185185185,0.3559733333333333,0.0,0.0
08/04/2024 17:00:00,2.2008003703703705,0.2724577777777778,0.0,0.0
08/04/2024 17:15:00,1.8917038888888889,0.1547599999999999,0.0,0.0
08/04/2024 17:30:00,1.3820983333333332,0.0830133333333333,0.0,0.0
08/04/2024 17:45:00,2.5079927777777775,0.1022244444444444,0.0,0.0
08/04/2024 18:00:00,0.7607850000000002,0.0307199999999999,0.0,0.0
08/04/2024 18:15:00,1.0735722222222222,0.0002711111111111,0.0,0.0
08/04/2024 18:30:00,0.6918166666666667,0.0,0.0,0.0
08/04/2024 18:45:00,0.4773866666666667,0.0,0.0,0.0
08/04/2024 19:00:00,0.4357633333333333,0.0,0.0,0.0
08/04/2024 19:15:00,0.4035992592592592,0.0,0.0,0.0
08/04/2024 19:30:00,0.3987962962962963,0.0,0.0,0.0
08/04/2024 19:45:00,0.4977111111111111,0.0,0.0,0.0
08/04/2024 20:00:00,0.3999644444444444,0.0,0.0,0.0
08/04/2024 20:15:00,0.4502188888888889,0.0,0.0,0.0
08/04/2024 20:30:00,0.3489388888888888,0.0,0.0,0.0
08/04/2024 20:45:00,0.3388305555555556,0.0,0.0,0.0
08/04/2024 21:00:00,0.4333955555555556,0.0,0.0,0.0
08/04/2024 21:15:00,0.3972755555555555,0.0,0.0,0.0
08/04/2024 21:30:00,0.4235,0.0,0.0,0.0
08/04/2024 21:45:00,0.3725356347438753,0.0,0.0,0.0
08/04/2024 22:00:00,0.349891640866873,0.0,0.0,0.0
08/04/2024 22:15:00,0.4146372222222222,0.0,0.0,0.0
08/04/2024 22:30:00,0.3548327777777778,0.0,0.0,0.0
08/04/2024 22:45:00,0.4232324074074074,0.0,0.0,0.0
08/04/2024 23:00:00,0.2551075925925926,0.0,0.0,0.0
08/04/2024 23:15:00,0.3680622222222222,0.0,0.0,0.0
08/04/2024 23:30:00,0.3031048148148148,0.0,0.0,0.0
08/04/2024 23:45:00,0.3786829629629629,0.0,0.0,0.0
09/04/2024 00:00:00,0.3086127777777777,0.0,0.0,0.0
09/04/2024 00:15:00,0.2562844444444444,0.0,0.0,0.0
09/04/2024 00:30:00,0.3283916666666666,0.0,0.0,0.0
09/04/2024 00:45:00,0.5356888888888889,0.0,0.0,0.0
09/04/2024 01:00:00,0.4958659259259259,0.0,0.0,0.0
09/04/2024 01:15:00,0.3696625925925926,0.0,0.0,0.0
09/04/2024 01:30:00,0.3531546296296296,0.0,0.0,0.0
09/04/2024 01:45:00,0.3714735185185185,0.0,0.0,0.0
09/04/2024 02:00:00,0.397312037037037,0.0,0.0,0.0
09/04/2024 02:15:00,0.4693862962962963,0.0,0.0,0.0
09/04/2024 02:30:00,0.4312488888888888,0.0,0.0,0.0
09/04/2024 02:45:00,0.3763133333333333,0.0,0.0,0.0
09/04/2024 03:00:00,0.3731861111111111,0.0,0.0,0.0
09/04/2024 03:15:00,0.4515663698049194,0.0,0.0,0.0
09/04/2024 03:30:00,0.3378255555555556,0.0,0.0,0.0
09/04/2024 03:45:00,0.4233018518518519,0.0,0.0,0.0
09/04/2024 04:00:00,0.3817844444444444,0.0,0.0,0.0
09/04/2024 04:15:00,0.491327037037037,0.0,0.0,0.0
09/04/2024 04:30:00,0.4838296296296296,0.0,0.0,0.0
09/04/2024 04:45:00,0.4251208240534521,0.0,0.0,0.0
09/04/2024 05:00:00,0.7949022038567494,0.0,0.0,0.0
09/04/2024 05:15:00,0.4826960863647612,0.001011135857461,0.0,0.0
09/04/2024 05:30:00,0.5817700000000001,0.0332777777777777,0.0,0.0
09/04/2024 05:45:00,0.46130000000000004,0.0705577777777777,0.0,0.0
09/04/2024 06:00:00,0.295495925925926,0.0774599999999999,0.0,0.0
09/04/2024 06:15:00,0.279358574610245,0.0654365256124721,0.0,0.0
09/04/2024 06:30:00,0.26654378334161904,0.1410977777777777,0.0,0.0
09/04/2024 06:45:00,0.27716773900183944,0.1733630289532294,0.0,0.0
09/04/2024 07:00:00,0.2743334886833947,0.1863311111111111,0.0,0.0
09/04/2024 07:15:00,0.2275492134782991,0.2688422222222222,0.0,0.0
09/04/2024 07:30:00,0.14649638319005992,0.40012,0.0,0.0
09/04/2024 07:45:00,0.11415848521695204,0.4310288888888889,0.0,0.0
09/04/2024 08:00:00,0.07979367007436672,0.4666659242761692,0.0,0.0
09/04/2024 08:15:00,0.10851340018991629,0.4392488888888888,0.0,0.0
09/04/2024 08:30:00,0.11578423202897531,0.4303466666666667,0.0,0.0
09/04/2024 08:45:00,-0.059068181449714596,0.6042555555555555,0.0,0.0
09/04/2024 09:00:00,-0.4462548481163813,0.9914422222222222,0.0,0.0
09/04/2024 09:15:00,-0.41021014154553226,0.950868888888889,0.0,0.0
09/04/2024 09:30:00,-0.5089651744064981,1.052521158129176,0.0,0.0
09/04/2024 09:45:00,-0.4855447329521908,1.0288,0.0,0.0
09/04/2024 10:00:00,-0.21465951172827147,0.7627022222222222,0.0,0.0
