datetime,Consumer_0_elec,PublicGrid_0_elec,Charger_0_elec,Consumer_0_heat,PublicGrid_0_heat,Charger_0_heat
08/04/2024 15:00:00,-0.5184612756264236,-0.5664098354846875,0,0.0,0.0,0.0
08/04/2024 15:15:00,-0.3981922222222222,-0.5934922222222221,0,0.0,0.0,0.0
08/04/2024 15:30:00,-0.4769977777777778,-0.40117842359522,0,0.0,0.0,0.0
08/04/2024 15:45:00,-0.4353407407407408,-0.287205534654293,0,0.0,0.0,0.0
08/04/2024 16:00:00,-0.3839111111111111,-0.3662333333333333,0,0.0,0.0,0.0
08/04/2024 16:15:00,-0.8116987037037037,0.0,0,0.0,0.0,0.0
08/04/2024 16:30:00,-1.0301683333333334,0.0,0,0.0,0.0,0.0
08/04/2024 16:45:00,-0.7811918518518518,0.0,0,0.0,0.0,0.0
08/04/2024 17:00:00,-2.4732581481481484,0.0,0,0.0,0.0,0.0
08/04/2024 17:15:00,-2.046463888888889,0.0,0,0.0,0.0,0.0
08/04/2024 17:30:00,-1.4651116666666666,0.0,0,0.0,0.0,0.0
08/04/2024 17:45:00,-2.610217222222222,0.0,0,0.0,0.0,0.0
08/04/2024 18:00:00,-0.791505,0.0,0,0.0,0.0,0.0
08/04/2024 18:15:00,-1.0738433333333333,0.0,0,0.0,0.0,0.0
08/04/2024 18:30:00,-0.6918166666666667,0.0,0,0.0,0.0,0.0
08/04/2024 18:45:00,-0.4773866666666667,0.0,0,0.0,0.0,0.0
08/04/2024 19:00:00,-0.4357633333333333,0.0,0,0.0,0.0,0.0
08/04/2024 19:15:00,-0.4035992592592592,0.0,0,0.0,0.0,0.0
08/04/2024 19:30:00,-0.3987962962962963,0.0,0,0.0,0.0,0.0
08/04/2024 19:45:00,-0.4977111111111111,0.0,0,0.0,0.0,0.0
08/04/2024 20:00:00,-0.3999644444444444,0.0,0,0.0,0.0,0.0
08/04/2024 20:15:00,-0.4502188888888889,0.0,0,0.0,0.0,0.0
08/04/2024 20:30:00,-0.3489388888888888,0.0,0,0.0,0.0,0.0
08/04/2024 20:45:00,-0.3388305555555556,0.0,0,0.0,0.0,0.0
08/04/2024 21:00:00,-0.4333955555555556,0.0,0,0.0,0.0,0.0
08/04/2024 21:15:00,-0.3972755555555555,0.0,0,0.0,0.0,0.0
08/04/2024 21:30:00,-0.4235,0.0,0,0.0,0.0,0.0
08/04/2024 21:45:00,-0.3725356347438753,0.0,0,0.0,0.0,0.0
08/04/2024 22:00:00,-0.349891640866873,0.0,0,0.0,0.0,0.0
08/04/2024 22:15:00,-0.4146372222222222,0.0,0,0.0,0.0,0.0
08/04/2024 22:30:00,-0.3548327777777778,0.0,0,0.0,0.0,0.0
08/04/2024 22:45:00,-0.4232324074074074,0.0,0,0.0,0.0,0.0
08/04/2024 23:00:00,-0.2551075925925926,0.0,0,0.0,0.0,0.0
08/04/2024 23:15:00,-0.3680622222222222,0.0,0,0.0,0.0,0.0
08/04/2024 23:30:00,-0.3031048148148148,0.0,0,0.0,0.0,0.0
08/04/2024 23:45:00,-0.3786829629629629,0.0,0,0.0,0.0,0.0
09/04/2024 00:00:00,-0.3086127777777777,0.0,0,0.0,0.0,0.0
09/04/2024 00:15:00,-0.2562844444444444,0.0,0,0.0,0.0,0.0
09/04/2024 00:30:00,-0.3283916666666666,0.0,0,0.0,0.0,0.0
09/04/2024 00:45:00,-0.5356888888888889,0.0,0,0.0,0.0,0.0
09/04/2024 01:00:00,-0.4958659259259259,0.0,0,0.0,0.0,0.0
09/04/2024 01:15:00,-0.3696625925925926,0.0,0,0.0,0.0,0.0
09/04/2024 01:30:00,-0.3531546296296296,0.0,0,0.0,0.0,0.0
09/04/2024 01:45:00,-0.3714735185185185,0.0,0,0.0,0.0,0.0
09/04/2024 02:00:00,-0.397312037037037,0.0,0,0.0,0.0,0.0
09/04/2024 02:15:00,-0.4693862962962963,0.0,0,0.0,0.0,0.0
09/04/2024 02:30:00,-0.4312488888888888,0.0,0,0.0,0.0,0.0
09/04/2024 02:45:00,-0.3763133333333333,0.0,0,0.0,0.0,0.0
09/04/2024 03:00:00,-0.3731861111111111,0.0,0,0.0,0.0,0.0
09/04/2024 03:15:00,-0.4515663698049194,0.0,0,0.0,0.0,0.0
09/04/2024 03:30:00,-0.3378255555555556,0.0,0,0.0,0.0,0.0
09/04/2024 03:45:00,-0.4233018518518519,0.0,0,0.0,0.0,0.0
09/04/2024 04:00:00,-0.3817844444444444,0.0,0,0.0,0.0,0.0
09/04/2024 04:15:00,-0.491327037037037,0.0,0,0.0,0.0,0.0
09/04/2024 04:30:00,-0.4838296296296296,0.0,0,0.0,0.0,0.0
09/04/2024 04:45:00,-0.4251208240534521,0.0,0,0.0,0.0,0.0
09/04/2024 05:00:00,-0.7949022038567494,0.0,0,0.0,0.0,0.0
09/04/2024 05:15:00,-0.4837072222222222,0.0,0,0.0,0.0,0.0
09/04/2024 05:30:00,-0.6150477777777779,0.0,0,0.0,0.0,0.0
09/04/2024 05:45:00,-0.5318577777777778,0.0,0,0.0,0.0,0.0
09/04/2024 06:00:00,-0.3729559259259259,0.0,0,0.0,0.0,0.0
09/04/2024 06:15:00,-0.3447951002227171,0.0,0,0.0,0.0,0.0
09/04/2024 06:30:00,-0.40764156111939676,0.0,0,0.0,0.0,0.0
09/04/2024 06:45:00,-0.45053076795506886,0.0,0,0.0,0.0,0.0
09/04/2024 07:00:00,-0.46066459979450575,0.0,0,0.0,0.0,0.0
09/04/2024 07:15:00,-0.4963914357005213,0.0,0,0.0,0.0,0.0
